route,price,snippet
/printer,€59,"erken."", }, { q: ""Hoe veel kost printerhulp?"", a: ""Aan huis €59 per uur. Diagnose is €19 als we niet kunnen helpen. Cartridges en onderdelen ap"
/printer,€19,"q: ""Hoe veel kost printerhulp?"", a: ""Aan huis €59 per uur. Diagnose is €19 als we niet kunnen helpen. Cartridges en onderdelen apart."", }, {"
/printer,€59,n huis €59 per uur
/printer,€19,gelost €19 alleen diagn
/printer,€59,"""> ""Nu werkt alles. Printen via WiFi gaat vlekkeloos. Kosten: €59 (2 uur) + €22 cartridge."""
/printer,€22,"""Nu werkt alles. Printen via WiFi gaat vlekkeloos. Kosten: €59 (2 uur) + €22 cartridge."" <p classNam"
/tarieven,€35,"() { const consumerPricing = [ { name: ""Computerhulp op afstand"", price: ""€35"", unit: ""Eerste 30 min"", extra: ""Daarna €15 per 15 min"", desc: ""Snelle remote h"
/tarieven,€15,"""Computerhulp op afstand"", price: ""€35"", unit: ""Eerste 30 min"", extra: ""Daarna €15 per 15 min"", desc: ""Snelle remote hulp met lage instapkosten. Transparante per-"
/tarieven,€59,"parante per-minuut afrekening."" }, { name: ""Computerhulp aan huis"", price: ""€59"", unit: ""Eerste 45 min"", extra: ""Daarna €17,25 per 15 min"", desc: ""Grondige dia"
/tarieven,"€17,25","e: ""Computerhulp aan huis"", price: ""€59"", unit: ""Eerste 45 min"", extra: ""Daarna €17,25 per 15 min"", desc: ""Grondige diagnose en reparatie op jouw locatie in Haaglande"
/tarieven,€89,"aaglanden. Geen voorrijkosten."" }, { name: ""IT Spoedhulp aan huis"", price: ""€89"", unit: ""Eerste uur"", extra: ""Daarna €19,50 per 15 min"", desc: ""Snel ter plaats"
/tarieven,"€19,50","name: ""IT Spoedhulp aan huis"", price: ""€89"", unit: ""Eerste uur"", extra: ""Daarna €19,50 per 15 min"", desc: ""Snel ter plaatse voor acute problemen. Geen afspraak nodig."
/tarieven,€79,"]; const businessPricing = [ { name: ""IT-support aan kantoor"", price: ""€79"", unit: ""Eerste uur (ex btw)"", extra: ""Daarna €20 per 15 min"", desc: ""Professio"
/tarieven,€20,"support aan kantoor"", price: ""€79"", unit: ""Eerste uur (ex btw)"", extra: ""Daarna €20 per 15 min"", desc: ""Professionele IT-ondersteuning op uw kantoor in Haaglanden."
/tarieven,€35,"aaglanden. Geen voorrijkosten."" }, { name: ""IT-support op afstand"", price: ""€35"", unit: ""Eerste 30 min (ex btw)"", extra: ""Daarna €17,50 per 15 min"", desc: ""Sne"
/tarieven,"€17,50","pport op afstand"", price: ""€35"", unit: ""Eerste 30 min (ex btw)"", extra: ""Daarna €17,50 per 15 min"", desc: ""Snelle remote support voor zakelijke systemen. Consistent t"
/tarieven,€89,"ke systemen. Consistent tarief."" }, { name: ""IT Spoedhulp kantoor"", price: ""€89"", unit: ""Eerste uur"", extra: ""Daarna €19,50 per 15 min"", desc: ""Snel ter plaats"
/tarieven,"€19,50","name: ""IT Spoedhulp kantoor"", price: ""€89"", unit: ""Eerste uur"", extra: ""Daarna €19,50 per 15 min"", desc: ""Snel ter plaatse voor bedrijfskritische problemen. Geen afs"
/uitleg-les,€59,"po."", }, { q: ""Hoeveel kost een computerles aan huis?"", a: ""€59 per uur. Je hoeft niet lang aan het stuk – een uur per week is perfect om rusti"
/uitleg-les,€59,er les €59 per uur
/uitleg-les,€270,Pakket €270 5 lessen
/uitleg-les,€25,>5 lessen Bespaar €25 – vol flexibiliteit
/uitleg-les,€270,"ijn dochter! Ik hoef mijn kleindochter te zien groeien. Superblij! Investering: €270."" <p className=""text-sm"
/wifi,€149,"{ q: ""Wat kost internet en WiFi hulp?"", a: ""WiFi optimalisatie €149 (survey + plan). Installatie mesh/router €65/uur. Onderdelen apart."", },"
/wifi,€65,"p?"", a: ""WiFi optimalisatie €149 (survey + plan). Installatie mesh/router €65/uur. Onderdelen apart."", }, { q: ""Kunnen jullie alle internetprov"
/wifi,€149,isatie €149 survey + pla
/wifi,€65,router €65 per uur
/wifi,€149,"n huis goed internet. Ook op zolder en in de tuin. Geen vertraging meer. Prijs: €149 onderzoek/instellen + €179 voor apparaat."" <"
/wifi,€179,"p zolder en in de tuin. Geen vertraging meer. Prijs: €149 onderzoek/instellen + €179 voor apparaat."" <p clas"
/windows-support,€149,"oor virussen."", }, { q: ""Wat kost Windows 11 upgrade?"", a: ""€149 inclusief volledige backup, data transfer en setup. Voor december 2025 : 20% ko"
/windows-support,€119,ervice €119* <li clas
/windows-support,€39,euning €39 30 minuten
/windows-support,€59,agnose €59 per uur
/windows-support,€119,pgrade €119 Nu 20% korting!</
/zakelijk,€550,"title: ""Strippenkaart & Contract"", description: ""10 uur support vanaf €550 (i.p.v. €650) of maandabonnement voor regelmatige hulp."", }, ]; const"
/zakelijk,€650,"trippenkaart & Contract"", description: ""10 uur support vanaf €550 (i.p.v. €650) of maandabonnement voor regelmatige hulp."", }, ]; const caseStudies ="
/zakelijk,€39,"-5 text-primary flex-shrink-0 mt-0.5"" /> Remote vanaf €39/30 min (cap €99) <li className"
/zakelijk,€99,"flex-shrink-0 mt-0.5"" /> Remote vanaf €39/30 min (cap €99) <li className=""flex items-sta"
/zakelijk,€65,"h-5 w-5 text-primary flex-shrink-0 mt-0.5"" /> On-site €65/uur (geen voorrijkosten Haaglanden)"
/zakelijk,€199,"5 text-primary flex-shrink-0 mt-0.5"" /> Spoed on-site €199 (max 2u) </C"
/zakelijk,€550,"text-primary flex-shrink-0 mt-0.5"" /> 10 uur support: €550 (i.p.v. €650) <li className=""f"
/zakelijk,€650,"flex-shrink-0 mt-0.5"" /> 10 uur support: €550 (i.p.v. €650) <li className=""flex items-sta"
/zakelijk,€1.050,"text-primary flex-shrink-0 mt-0.5"" /> 20 uur support: €1.050 (i.p.v. €1.300) <li className="
/zakelijk,€1.300,"ex-shrink-0 mt-0.5"" /> 20 uur support: €1.050 (i.p.v. €1.300) <li className=""flex items-sta"
/zakelijk,€19,Vaste tarieven met caps. Geen verborgen kosten. Niet opgelost? Alleen €19 diagnose.
